#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 
0.27 3.04 -28.58 -25.53 5.00 -0.70 -1.90 1.47 -0.03 0.17 0.57 5.00 -1.25 -0.26 1.25 0.31 0.16 -0.86 
0.28 3.04 -28.57 -25.52 5.00 -0.70 -1.90 1.48 -0.03 0.18 0.57 5.00 -1.25 -0.26 1.24 0.32 0.15 -0.86 
0.29 3.04 -28.56 -25.52 5.00 -0.70 -1.90 1.48 -0.03 0.19 0.57 5.00 -1.25 -0.25 1.23 0.32 0.14 -0.86 
0.30 3.04 -28.55 -25.51 5.00 -0.70 -1.90 1.49 -0.04 0.19 0.57 5.00 -1.25 -0.25 1.23 0.32 0.13 -0.86 
0.31 3.04 -28.55 -25.51 5.00 -0.70 -1.89 1.49 -0.04 0.20 0.57 5.00 -1.24 -0.25 1.22 0.32 0.13 -0.85 
0.32 3.04 -28.54 -25.51 5.00 -0.70 -1.89 1.50 -0.04 0.21 0.57 5.00 -1.24 -0.25 1.21 0.33 0.12 -0.85 
0.33 3.03 -28.54 -25.50 5.00 -0.70 -1.89 1.51 -0.04 0.22 0.57 5.00 -1.24 -0.25 1.20 0.33 0.11 -0.85 
0.34 3.03 -28.53 -25.50 5.00 -0.70 -1.89 1.51 -0.05 0.22 0.56 5.00 -1.23 -0.25 1.19 0.33 0.10 -0.85 
0.35 3.03 -28.53 -25.50 5.00 -0.70 -1.89 1.52 -0.05 0.23 0.56 5.00 -1.23 -0.25 1.18 0.33 0.10 -0.85 
0.36 3.03 -28.53 -25.49 5.00 -0.70 -1.88 1.52 -0.05 0.24 0.56 5.00 -1.23 -0.25 1.17 0.34 0.09 -0.85 
0.37 3.03 -28.52 -25.49 5.00 -0.70 -1.88 1.53 -0.05 0.25 0.56 5.00 -1.22 -0.25 1.17 0.34 0.08 -0.85 
0.38 3.03 -28.52 -25.49 5.00 -0.71 -1.88 1.53 -0.06 0.25 0.56 5.00 -1.22 -0.24 1.16 0.34 0.07 -0.84 
0.39 3.03 -28.52 -25.49 5.00 -0.71 -1.88 1.54 -0.06 0.26 0.56 5.00 -1.22 -0.24 1.15 0.34 0.07 -0.84 
0.40 3.03 -28.52 -25.49 5.00 -0.71 -1.87 1.54 -0.06 0.27 0.55 5.00 -1.21 -0.24 1.14 0.34 0.06 -0.84 
0.41 3.03 -28.52 -25.49 5.00 -0.71 -1.87 1.55 -0.06 0.28 0.55 5.00 -1.21 -0.24 1.13 0.35 0.05 -0.84 
0.42 3.03 -28.52 -25.49 5.00 -0.71 -1.87 1.56 -0.07 0.28 0.55 5.00 -1.20 -0.24 1.12 0.35 0.04 -0.84 
0.43 3.03 -28.52 -25.49 5.00 -0.71 -1.86 1.56 -0.07 0.29 0.55 5.00 -1.20 -0.24 1.12 0.35 0.04 -0.83 
0.44 3.03 -28.52 -25.49 5.00 -0.71 -1.86 1.57 -0.07 0.30 0.55 5.00 -1.20 -0.24 1.11 0.35 0.03 -0.83 
0.45 3.03 -28.53 -25.50 5.00 -0.71 -1.86 1.57 -0.07 0.31 0.54 5.00 -1.19 -0.24 1.10 0.36 0.02 -0.83 
0.46 3.03 -28.53 -25.50 5.00 -0.71 -1.86 1.58 -0.08 0.31 0.54 5.00 -1.19 -0.24 1.09 0.36 0.01 -0.83 
0.47 3.03 -28.53 -25.50 5.00 -0.71 -1.85 1.58 -0.08 0.32 0.54 5.00 -1.19 -0.24 1.08 0.36 0.01 -0.83 
0.48 3.03 -28.54 -25.51 5.00 -0.71 -1.85 1.59 -0.08 0.33 0.54 5.00 -1.18 -0.24 1.07 0.36 -0.00 -0.82 
0.49 3.04 -28.54 -25.51 5.00 -0.71 -1.85 1.59 -0.08 0.34 0.53 5.00 -1.18 -0.24 1.07 0.37 -0.01 -0.82 
0.50 3.04 -28.55 -25.51 5.00 -0.71 -1.84 1.60 -0.08 0.34 0.53 5.00 -1.18 -0.24 1.06 0.37 -0.02 -0.82 
0.51 3.04 -28.56 -25.52 5.00 -0.71 -1.84 1.60 -0.09 0.35 0.53 5.00 -1.17 -0.24 1.05 0.37 -0.02 -0.82 
0.52 3.04 -28.57 -25.53 5.00 -0.72 -1.83 1.61 -0.09 0.36 0.53 5.00 -1.17 -0.24 1.04 0.37 -0.03 -0.81 
0.53 3.04 -28.57 -25.53 5.00 -0.72 -1.83 1.61 -0.09 0.37 0.52 5.00 -1.16 -0.24 1.03 0.37 -0.04 -0.81 
0.54 3.04 -28.58 -25.54 5.00 -0.72 -1.83 1.62 -0.09 0.37 0.52 5.00 -1.16 -0.24 1.03 0.38 -0.05 -0.81 
0.55 3.05 -28.59 -25.54 5.00 -0.72 -1.82 1.63 -0.09 0.38 0.52 5.00 -1.16 -0.24 1.02 0.38 -0.05 -0.81 
0.56 3.05 -28.60 -25.55 5.00 -0.72 -1.82 1.63 -0.10 0.39 0.52 5.00 -1.15 -0.24 1.01 0.38 -0.06 -0.80 
0.57 3.05 -28.61 -25.56 5.00 -0.72 -1.82 1.64 -0.10 0.40 0.51 5.00 -1.15 -0.24 1.00 0.38 -0.07 -0.80 
0.58 3.05 -28.62 -25.57 5.00 -0.72 -1.81 1.64 -0.10 0.40 0.51 5.00 -1.15 -0.25 0.99 0.38 -0.08 -0.80 
0.59 3.06 -28.63 -25.58 5.00 -0.72 -1.81 1.65 -0.10 0.41 0.51 5.00 -1.14 -0.25 0.99 0.39 -0.08 -0.79 
0.60 3.06 -28.65 -25.59 5.00 -0.72 -1.80 1.65 -0.10 0.42 0.50 5.00 -1.14 -0.25 0.98 0.39 -0.09 -0.79 
0.61 3.06 -28.66 -25.60 5.00 -0.72 -1.80 1.66 -0.11 0.43 0.50 5.00 -1.13 -0.25 0.97 0.39 -0.10 -0.79 
0.62 3.07 -28.67 -25.61 5.00 -0.73 -1.79 1.66 -0.11 0.43 0.50 5.00 -1.13 -0.25 0.96 0.39 -0.10 -0.78 
0.63 3.07 -28.69 -25.62 5.00 -0.73 -1.79 1.67 -0.11 0.44 0.49 5.00 -1.13 -0.25 0.95 0.39 -0.11 -0.78 
0.64 3.07 -28.70 -25.63 5.00 -0.73 -1.79 1.67 -0.11 0.45 0.49 5.00 -1.12 -0.25 0.95 0.40 -0.12 -0.78 
0.65 3.08 -28.72 -25.64 5.00 -0.73 -1.78 1.68 -0.11 0.45 0.49 5.00 -1.12 -0.25 0.94 0.40 -0.13 -0.77 
0.66 3.08 -28.74 -25.66 5.00 -0.73 -1.78 1.68 -0.12 0.46 0.48 5.00 -1.11 -0.25 0.93 0.40 -0.13 -0.77 
0.67 3.09 -28.75 -25.67 5.00 -0.73 -1.77 1.69 -0.12 0.47 0.48 5.00 -1.11 -0.26 0.92 0.40 -0.14 -0.77 
0.68 3.09 -28.77 -25.68 5.00 -0.73 -1.77 1.69 -0.12 0.48 0.48 5.00 -1.11 -0.26 0.92 0.40 -0.15 -0.76 
0.69 3.10 -28.79 -25.70 5.00 -0.73 -1.76 1.69 -0.12 0.48 0.47 5.00 -1.10 -0.26 0.91 0.40 -0.16 -0.76 
0.70 3.10 -28.81 -25.71 5.00 -0.73 -1.76 1.70 -0.12 0.49 0.47 5.00 -1.10 -0.26 0.90 0.41 -0.16 -0.76 
0.71 3.10 -28.83 -25.73 5.00 -0.74 -1.75 1.70 -0.12 0.50 0.47 5.00 -1.09 -0.26 0.89 0.41 -0.17 -0.75 
0.72 3.11 -28.85 -25.74 5.00 -0.74 -1.75 1.71 -0.13 0.51 0.46 5.00 -1.09 -0.26 0.89 0.41 -0.18 -0.75 
0.73 3.12 -28.87 -25.76 5.00 -0.74 -1.74 1.71 -0.13 0.51 0.46 5.00 -1.09 -0.27 0.88 0.41 -0.18 -0.74 
0.74 3.12 -28.89 -25.77 5.00 -0.74 -1.74 1.72 -0.13 0.52 0.45 5.00 -1.08 -0.27 0.87 0.41 -0.19 -0.74 
0.75 3.13 -28.92 -25.79 5.00 -0.74 -1.73 1.72 -0.13 0.53 0.45 5.00 -1.08 -0.27 0.86 0.42 -0.20 -0.74 
0.76 3.13 -28.94 -25.81 5.00 -0.74 -1.73 1.73 -0.13 0.53 0.45 5.00 -1.07 -0.27 0.86 0.42 -0.21 -0.73 
0.77 3.14 -28.96 -25.83 5.00 -0.74 -1.72 1.73 -0.13 0.54 0.44 5.00 -1.07 -0.27 0.85 0.42 -0.21 -0.73 
0.78 3.14 -28.99 -25.85 5.00 -0.75 -1.72 1.74 -0.14 0.55 0.44 5.00 -1.07 -0.28 0.84 0.42 -0.22 -0.72 
0.79 3.15 -29.02 -25.86 5.00 -0.75 -1.71 1.74 -0.14 0.55 0.43 5.00 -1.06 -0.28 0.83 0.42 -0.23 -0.72 
0.80 3.16 -29.04 -25.88 5.00 -0.75 -1.70 1.74 -0.14 0.56 0.43 5.00 -1.06 -0.28 0.83 0.42 -0.23 -0.71 
0.81 3.16 -29.07 -25.91 5.00 -0.75 -1.70 1.75 -0.14 0.57 0.42 5.00 -1.05 -0.28 0.82 0.42 -0.24 -0.71 
0.82 3.17 -29.10 -25.93 5.00 -0.75 -1.69 1.75 -0.14 0.58 0.42 5.00 -1.05 -0.29 0.81 0.43 -0.25 -0.71 
0.83 3.18 -29.12 -25.95 5.00 -0.75 -1.69 1.76 -0.14 0.58 0.41 5.00 -1.04 -0.29 0.81 0.43 -0.25 -0.70 
0.84 3.18 -29.15 -25.97 5.00 -0.75 -1.68 1.76 -0.15 0.59 0.41 5.00 -1.04 -0.29 0.80 0.43 -0.26 -0.70 
0.85 3.19 -29.18 -25.99 5.00 -0.76 -1.68 1.76 -0.15 0.60 0.41 5.00 -1.04 -0.29 0.79 0.43 -0.27 -0.69 
0.86 3.20 -29.21 -26.01 5.00 -0.76 -1.67 1.77 -0.15 0.60 0.40 5.00 -1.03 -0.30 0.78 0.43 -0.27 -0.69 
0.87 3.21 -29.25 -26.04 5.00 -0.76 -1.66 1.77 -0.15 0.61 0.40 5.00 -1.03 -0.30 0.78 0.43 -0.28 -0.68 
0.88 3.21 -29.28 -26.06 5.00 -0.76 -1.66 1.78 -0.15 0.62 0.39 5.00 -1.02 -0.30 0.77 0.43 -0.29 -0.68 
0.89 3.22 -29.31 -26.09 5.00 -0.76 -1.65 1.78 -0.15 0.62 0.39 5.00 -1.02 -0.30 0.76 0.44 -0.30 -0.67 
0.90 3.23 -29.34 -26.11 5.00 -0.76 -1.64 1.78 -0.15 0.63 0.38 5.00 -1.01 -0.31 0.76 0.44 -0.30 -0.67 
0.91 3.24 -29.38 -26.14 5.00 -0.76 -1.64 1.79 -0.15 0.64 0.38 5.00 -1.01 -0.31 0.75 0.44 -0.31 -0.66 
0.92 3.25 -29.41 -26.16 5.00 -0.77 -1.63 1.79 -0.16 0.64 0.37 5.00 -1.00 -0.31 0.74 0.44 -0.32 -0.66 
0.93 3.26 -29.45 -26.19 5.00 -0.77 -1.63 1.80 -0.16 0.65 0.36 5.00 -1.00 -0.32 0.74 0.44 -0.32 -0.65 
0.94 3.27 -29.48 -26.22 5.00 -0.77 -1.62 1.80 -0.16 0.66 0.36 5.00 -1.00 -0.32 0.73 0.44 -0.33 -0.65 
0.95 3.28 -29.52 -26.25 5.00 -0.77 -1.61 1.80 -0.16 0.66 0.35 5.00 -0.99 -0.32 0.73 0.44 -0.34 -0.64 
0.96 3.28 -29.56 -26.27 5.00 -0.77 -1.61 1.81 -0.16 0.67 0.35 5.00 -0.99 -0.33 0.72 0.44 -0.34 -0.63 
0.97 3.29 -29.60 -26.30 5.00 -0.77 -1.60 1.81 -0.16 0.68 0.34 5.00 -0.98 -0.33 0.71 0.45 -0.35 -0.63 
0.98 3.30 -29.64 -26.33 5.00 -0.78 -1.59 1.81 -0.16 0.68 0.34 5.00 -0.98 -0.33 0.71 0.45 -0.36 -0.62 
0.99 3.31 -29.68 -26.36 5.00 -0.78 -1.58 1.82 -0.16 0.69 0.33 5.00 -0.97 -0.34 0.70 0.45 -0.36 -0.62 
1.00 3.32 -29.72 -26.39 5.00 -0.78 -1.58 1.82 -0.17 0.70 0.33 5.00 -0.97 -0.34 0.69 0.45 -0.37 -0.61 
1.01 3.33 -29.76 -26.43 5.00 -0.78 -1.57 1.82 -0.17 0.70 0.32 5.00 -0.96 -0.35 0.69 0.45 -0.38 -0.61 
1.02 3.35 -29.80 -26.46 5.00 -0.78 -1.56 1.83 -0.17 0.71 0.31 5.00 -0.96 -0.35 0.68 0.45 -0.38 -0.60 
1.03 3.36 -29.85 -26.49 5.00 -0.78 -1.56 1.83 -0.17 0.72 0.31 5.00 -0.96 -0.35 0.68 0.45 -0.39 -0.59 
1.04 3.37 -29.89 -26.52 5.00 -0.79 -1.55 1.83 -0.17 0.72 0.30 5.00 -0.95 -0.36 0.67 0.45 -0.39 -0.59 
1.05 3.38 -29.94 -26.56 5.00 -0.79 -1.54 1.83 -0.17 0.73 0.30 5.00 -0.95 -0.36 0.66 0.45 -0.40 -0.58 
1.06 3.39 -29.98 -26.59 5.00 -0.79 -1.53 1.84 -0.17 0.74 0.29 5.00 -0.94 -0.37 0.66 0.45 -0.41 -0.57 
1.07 3.40 -30.03 -26.63 5.00 -0.79 -1.53 1.84 -0.17 0.74 0.28 5.00 -0.94 -0.37 0.65 0.45 -0.41 -0.57 
1.08 3.41 -30.08 -26.66 5.00 -0.79 -1.52 1.84 -0.17 0.75 0.28 5.00 -0.93 -0.37 0.65 0.46 -0.42 -0.56 
1.09 3.42 -30.12 -26.70 5.00 -0.79 -1.51 1.85 -0.17 0.75 0.27 5.00 -0.93 -0.38 0.64 0.46 -0.43 -0.56 
1.10 3.44 -30.17 -26.74 5.00 -0.80 -1.50 1.85 -0.17 0.76 0.26 5.00 -0.92 -0.38 0.64 0.46 -0.43 -0.55 
1.11 3.45 -30.22 -26.77 5.00 -0.80 -1.50 1.85 -0.17 0.77 0.26 5.00 -0.92 -0.39 0.63 0.46 -0.44 -0.54 
1.12 3.46 -30.27 -26.81 5.00 -0.80 -1.49 1.85 -0.18 0.77 0.25 5.00 -0.91 -0.39 0.63 0.46 -0.44 -0.54 
1.13 3.47 -30.32 -26.85 5.00 -0.80 -1.48 1.86 -0.18 0.78 0.24 5.00 -0.91 -0.40 0.62 0.46 -0.45 -0.53 
1.14 3.49 -30.38 -26.89 5.00 -0.80 -1.47 1.86 -0.18 0.78 0.24 5.00 -0.91 -0.40 0.62 0.46 -0.46 -0.52 
1.15 3.50 -30.43 -26.93 5.00 -0.80 -1.47 1.86 -0.18 0.79 0.23 5.00 -0.90 -0.40 0.61 0.46 -0.46 -0.51 
1.16 3.51 -30.48 -26.97 5.00 -0.81 -1.46 1.86 -0.18 0.80 0.22 5.00 -0.90 -0.41 0.60 0.46 -0.47 -0.51 
1.17 3.53 -30.54 -27.01 5.00 -0.81 -1.45 1.87 -0.18 0.80 0.21 5.00 -0.89 -0.41 0.60 0.46 -0.47 -0.50 
1.18 3.54 -30.59 -27.05 5.00 -0.81 -1.44 1.87 -0.18 0.81 0.21 5.00 -0.89 -0.42 0.59 0.46 -0.48 -0.49 
1.19 3.56 -30.65 -27.10 5.00 -0.81 -1.43 1.87 -0.18 0.81 0.20 5.00 -0.88 -0.42 0.59 0.46 -0.49 -0.49 
1.20 3.57 -30.71 -27.14 5.00 -0.81 -1.43 1.87 -0.18 0.82 0.19 5.00 -0.88 -0.43 0.59 0.46 -0.49 -0.48 
1.21 3.58 -30.77 -27.18 5.00 -0.82 -1.42 1.87 -0.18 0.83 0.19 5.00 -0.87 -0.43 0.58 0.46 -0.50 -0.47 
1.22 3.60 -30.83 -27.23 5.00 -0.82 -1.41 1.87 -0.18 0.83 0.18 5.00 -0.87 -0.44 0.58 0.46 -0.50 -0.46 
1.23 3.61 -30.89 -27.27 5.00 -0.82 -1.40 1.88 -0.18 0.84 0.17 5.00 -0.86 -0.44 0.57 0.46 -0.51 -0.46 
1.24 3.63 -30.95 -27.32 5.00 -0.82 -1.39 1.88 -0.18 0.84 0.16 5.00 -0.86 -0.45 0.57 0.46 -0.51 -0.45 
1.25 3.64 -31.01 -27.37 5.00 -0.82 -1.38 1.88 -0.18 0.85 0.15 5.00 -0.85 -0.45 0.56 0.46 -0.52 -0.44 
1.26 3.66 -31.07 -27.41 5.00 -0.82 -1.37 1.88 -0.18 0.85 0.15 5.00 -0.85 -0.46 0.56 0.46 -0.53 -0.43 
1.27 3.68 -31.14 -27.46 5.00 -0.83 -1.37 1.88 -0.18 0.86 0.14 5.00 -0.85 -0.46 0.55 0.46 -0.53 -0.42 
1.28 3.69 -31.20 -27.51 5.00 -0.83 -1.36 1.88 -0.18 0.87 0.13 5.00 -0.84 -0.47 0.55 0.46 -0.54 -0.42 
1.29 3.71 -31.27 -27.56 5.00 -0.83 -1.35 1.89 -0.18 0.87 0.12 5.00 -0.84 -0.48 0.55 0.46 -0.54 -0.41 
1.30 3.72 -31.33 -27.61 5.00 -0.83 -1.34 1.89 -0.18 0.88 0.11 5.00 -0.83 -0.48 0.54 0.46 -0.55 -0.40 
1.31 3.74 -31.40 -27.66 5.00 -0.83 -1.33 1.89 -0.18 0.88 0.11 5.00 -0.83 -0.49 0.54 0.46 -0.55 -0.39 
1.32 3.76 -31.47 -27.71 5.00 -0.84 -1.32 1.89 -0.18 0.89 0.10 5.00 -0.82 -0.49 0.53 0.46 -0.56 -0.38 
1.33 3.78 -31.54 -27.76 5.00 -0.84 -1.31 1.89 -0.18 0.89 0.09 5.00 -0.82 -0.50 0.53 0.46 -0.56 -0.38 
1.34 3.79 -31.61 -27.82 5.00 -0.84 -1.30 1.89 -0.18 0.90 0.08 5.00 -0.81 -0.50 0.53 0.46 -0.57 -0.37 
1.35 3.81 -31.68 -27.87 5.00 -0.84 -1.30 1.89 -0.18 0.90 0.07 5.00 -0.81 -0.51 0.52 0.46 -0.57 -0.36 
1.36 3.83 -31.75 -27.92 5.00 -0.84 -1.29 1.89 -0.18 0.91 0.06 5.00 -0.80 -0.51 0.52 0.46 -0.58 -0.35 
1.37 3.85 -31.83 -27.98 5.00 -0.84 -1.28 1.89 -0.18 0.91 0.05 5.00 -0.80 -0.52 0.52 0.46 -0.58 -0.34 
1.38 3.87 -31.90 -28.04 5.00 -0.85 -1.27 1.89 -0.18 0.92 0.05 5.00 -0.79 -0.53 0.51 0.46 -0.59 -0.33 
1.39 3.88 -31.98 -28.09 5.00 -0.85 -1.26 1.89 -0.18 0.92 0.04 5.00 -0.79 -0.53 0.51 0.46 -0.59 -0.32 
1.40 3.90 -32.05 -28.15 5.00 -0.85 -1.25 1.89 -0.18 0.93 0.03 5.00 -0.78 -0.54 0.51 0.46 -0.60 -0.31 
1.41 3.92 -32.13 -28.21 5.00 -0.85 -1.24 1.89 -0.18 0.93 0.02 5.00 -0.78 -0.54 0.50 0.46 -0.60 -0.30 
1.42 3.94 -32.21 -28.27 5.00 -0.85 -1.23 1.89 -0.18 0.94 0.01 5.00 -0.78 -0.55 0.50 0.46 -0.61 -0.30 
1.43 3.96 -32.29 -28.33 5.00 -0.86 -1.22 1.89 -0.18 0.94 0.00 5.00 -0.77 -0.56 0.50 0.46 -0.61 -0.29 
1.44 3.98 -32.37 -28.39 5.00 -0.86 -1.21 1.89 -0.18 0.94 -0.01 5.00 -0.77 -0.56 0.49 0.46 -0.62 -0.28 
1.45 4.00 -32.45 -28.45 5.00 -0.86 -1.20 1.89 -0.18 0.95 -0.02 5.00 -0.76 -0.57 0.49 0.46 -0.62 -0.27 
1.46 4.02 -32.53 -28.51 5.00 -0.86 -1.19 1.89 -0.18 0.95 -0.03 5.00 -0.76 -0.58 0.49 0.46 -0.62 -0.26 
1.47 4.04 -32.62 -28.57 5.00 -0.86 -1.18 1.89 -0.18 0.96 -0.04 5.00 -0.75 -0.58 0.49 0.46 -0.63 -0.25 
1.48 4.06 -32.70 -28.64 5.00 -0.86 -1.17 1.89 -0.17 0.96 -0.05 5.00 -0.75 -0.59 0.48 0.46 -0.63 -0.24 
1.49 4.09 -32.79 -28.70 5.00 -0.87 -1.16 1.89 -0.17 0.97 -0.06 5.00 -0.74 -0.59 0.48 0.46 -0.64 -0.23 
1.50 4.11 -32.87 -28.77 5.00 -0.87 -1.15 1.89 -0.17 0.97 -0.07 5.00 -0.74 -0.60 0.48 0.46 -0.64 -0.22 
1.51 4.13 -32.96 -28.83 5.00 -0.87 -1.14 1.89 -0.17 0.97 -0.08 5.00 -0.73 -0.61 0.48 0.46 -0.65 -0.21 
1.52 4.15 -33.05 -28.90 5.00 -0.87 -1.13 1.89 -0.17 0.98 -0.09 5.00 -0.73 -0.61 0.48 0.45 -0.65 -0.20 
1.53 4.17 -33.14 -28.97 5.00 -0.87 -1.13 1.89 -0.17 0.98 -0.10 5.00 -0.73 -0.62 0.47 0.45 -0.65 -0.19 
1.54 4.20 -33.23 -29.04 5.00 -0.87 -1.12 1.89 -0.17 0.99 -0.11 5.00 -0.72 -0.63 0.47 0.45 -0.66 -0.18 
1.55 4.22 -33.32 -29.10 5.00 -0.88 -1.11 1.89 -0.17 0.99 -0.12 5.00 -0.72 -0.63 0.47 0.45 -0.66 -0.17 
1.56 4.24 -33.42 -29.17 5.00 -0.88 -1.10 1.88 -0.17 0.99 -0.13 5.00 -0.71 -0.64 0.47 0.45 -0.66 -0.16 
1.57 4.27 -33.51 -29.25 5.00 -0.88 -1.09 1.88 -0.17 1.00 -0.14 5.00 -0.71 -0.65 0.47 0.45 -0.67 -0.15 
1.58 4.29 -33.61 -29.32 5.00 -0.88 -1.08 1.88 -0.16 1.00 -0.15 5.00 -0.70 -0.65 0.47 0.45 -0.67 -0.14 
1.59 4.31 -33.70 -29.39 5.00 -0.88 -1.07 1.88 -0.16 1.00 -0.16 5.00 -0.70 -0.66 0.46 0.45 -0.67 -0.13 
1.60 4.34 -33.80 -29.46 5.00 -0.88 -1.06 1.88 -0.16 1.01 -0.17 5.00 -0.69 -0.67 0.46 0.44 -0.68 -0.11 
1.61 4.36 -33.90 -29.54 5.00 -0.89 -1.05 1.88 -0.16 1.01 -0.18 5.00 -0.69 -0.67 0.46 0.44 -0.68 -0.10 
1.62 4.39 -34.00 -29.61 5.00 -0.89 -1.04 1.87 -0.16 1.01 -0.19 5.00 -0.69 -0.68 0.46 0.44 -0.68 -0.09 
1.63 4.41 -34.10 -29.69 5.00 -0.89 -1.03 1.87 -0.16 1.01 -0.20 5.00 -0.68 -0.69 0.46 0.44 -0.69 -0.08 
1.64 4.44 -34.20 -29.76 5.00 -0.89 -1.01 1.87 -0.16 1.02 -0.22 5.00 -0.68 -0.69 0.46 0.44 -0.69 -0.07 
1.65 4.46 -34.31 -29.84 5.00 -0.89 -1.00 1.87 -0.15 1.02 -0.23 5.00 -0.67 -0.70 0.46 0.44 -0.69 -0.06 
1.66 4.49 -34.41 -29.92 5.00 -0.89 -0.99 1.87 -0.15 1.02 -0.24 5.00 -0.67 -0.71 0.46 0.44 -0.69 -0.05 
1.67 4.52 -34.52 -30.00 5.00 -0.89 -0.98 1.86 -0.15 1.02 -0.25 5.00 -0.66 -0.72 0.46 0.43 -0.70 -0.04 
1.68 4.54 -34.62 -30.08 5.00 -0.90 -0.97 1.86 -0.15 1.03 -0.26 5.00 -0.66 -0.72 0.46 0.43 -0.70 -0.02 
