#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 m3 x3 y3 z3 vx3 vy3 vz3 
0.26 10.84 -280.68 -269.84 6.00 0.60 0.99 0.08 -0.12 1.22 -0.69 6.00 1.31 1.08 -0.64 -0.33 -0.80 -0.76 8.00 1.31 1.72 -0.86 0.34 -0.33 0.10 
0.27 10.92 -281.13 -270.21 6.00 0.59 1.00 0.07 -0.11 1.23 -0.71 6.00 1.31 1.07 -0.65 -0.34 -0.79 -0.76 8.00 1.31 1.72 -0.86 0.34 -0.34 0.10 
0.28 10.99 -281.59 -270.60 6.00 0.59 1.02 0.07 -0.10 1.23 -0.72 6.00 1.31 1.06 -0.66 -0.34 -0.78 -0.75 8.00 1.32 1.72 -0.86 0.33 -0.35 0.11 
0.29 11.06 -282.05 -270.99 6.00 0.59 1.03 0.06 -0.09 1.24 -0.73 6.00 1.30 1.06 -0.66 -0.35 -0.77 -0.75 8.00 1.32 1.71 -0.86 0.33 -0.36 0.12 
0.30 11.13 -282.52 -271.39 6.00 0.59 1.04 0.05 -0.08 1.24 -0.74 6.00 1.30 1.05 -0.67 -0.35 -0.76 -0.75 8.00 1.32 1.71 -0.86 0.32 -0.37 0.13 
0.31 11.20 -283.00 -271.80 6.00 0.59 1.05 0.05 -0.07 1.25 -0.75 6.00 1.30 1.04 -0.68 -0.36 -0.75 -0.75 8.00 1.32 1.70 -0.86 0.32 -0.38 0.13 
0.32 11.27 -283.50 -272.22 6.00 0.59 1.07 0.04 -0.06 1.25 -0.77 6.00 1.29 1.03 -0.69 -0.36 -0.74 -0.74 8.00 1.33 1.70 -0.85 0.31 -0.39 0.14 
0.33 11.35 -284.00 -272.65 6.00 0.59 1.08 0.03 -0.05 1.26 -0.78 6.00 1.29 1.03 -0.69 -0.37 -0.73 -0.74 8.00 1.33 1.70 -0.85 0.31 -0.40 0.15 
0.34 11.42 -284.52 -273.10 6.00 0.59 1.09 0.02 -0.03 1.26 -0.79 6.00 1.29 1.02 -0.70 -0.37 -0.72 -0.74 8.00 1.33 1.69 -0.85 0.31 -0.41 0.15 
0.35 11.49 -285.05 -273.55 6.00 0.59 1.10 0.01 -0.02 1.27 -0.80 6.00 1.28 1.01 -0.71 -0.37 -0.71 -0.73 8.00 1.34 1.69 -0.85 0.30 -0.42 0.16 
0.36 11.56 -285.59 -274.02 6.00 0.59 1.12 0.01 -0.01 1.27 -0.82 6.00 1.28 1.00 -0.71 -0.38 -0.70 -0.73 8.00 1.34 1.68 -0.85 0.30 -0.43 0.17 
0.37 11.63 -286.14 -274.51 6.00 0.59 1.13 -0.00 -0.00 1.28 -0.83 6.00 1.27 1.00 -0.72 -0.38 -0.69 -0.73 8.00 1.34 1.68 -0.85 0.29 -0.45 0.17 
0.38 11.71 -286.71 -275.01 6.00 0.59 1.14 -0.01 0.01 1.28 -0.84 6.00 1.27 0.99 -0.73 -0.39 -0.68 -0.72 8.00 1.35 1.67 -0.84 0.29 -0.46 0.18 
0.39 11.78 -287.30 -275.52 6.00 0.59 1.15 -0.02 0.02 1.28 -0.85 6.00 1.27 0.98 -0.74 -0.39 -0.67 -0.72 8.00 1.35 1.67 -0.84 0.28 -0.47 0.19 
0.40 11.85 -287.90 -276.05 6.00 0.59 1.17 -0.03 0.03 1.28 -0.86 6.00 1.26 0.98 -0.74 -0.40 -0.66 -0.72 8.00 1.35 1.67 -0.84 0.27 -0.48 0.19 
0.41 11.92 -288.52 -276.60 6.00 0.59 1.18 -0.04 0.04 1.29 -0.88 6.00 1.26 0.97 -0.75 -0.40 -0.65 -0.71 8.00 1.35 1.66 -0.84 0.27 -0.49 0.20 
0.42 11.99 -289.16 -277.17 6.00 0.59 1.19 -0.05 0.05 1.29 -0.89 6.00 1.25 0.97 -0.76 -0.40 -0.63 -0.71 8.00 1.36 1.66 -0.84 0.26 -0.50 0.20 
0.43 12.06 -289.82 -277.75 6.00 0.59 1.21 -0.05 0.07 1.29 -0.90 6.00 1.25 0.96 -0.76 -0.41 -0.62 -0.70 8.00 1.36 1.65 -0.83 0.26 -0.51 0.21 
0.44 12.13 -290.49 -278.36 6.00 0.59 1.22 -0.06 0.08 1.29 -0.91 6.00 1.25 0.95 -0.77 -0.41 -0.61 -0.70 8.00 1.36 1.64 -0.83 0.25 -0.52 0.22 
0.45 12.20 -291.19 -278.98 6.00 0.59 1.23 -0.07 0.09 1.30 -0.92 6.00 1.24 0.95 -0.78 -0.41 -0.60 -0.69 8.00 1.36 1.64 -0.83 0.24 -0.53 0.22 
0.46 12.27 -291.90 -279.63 6.00 0.59 1.24 -0.08 0.10 1.30 -0.94 6.00 1.24 0.94 -0.79 -0.42 -0.59 -0.69 8.00 1.37 1.63 -0.83 0.24 -0.54 0.23 
0.47 12.34 -292.64 -280.30 6.00 0.60 1.26 -0.09 0.11 1.30 -0.95 6.00 1.23 0.94 -0.79 -0.42 -0.57 -0.69 8.00 1.37 1.63 -0.83 0.23 -0.55 0.23 
0.48 12.41 -293.40 -280.98 6.00 0.60 1.27 -0.10 0.12 1.30 -0.96 6.00 1.23 0.93 -0.80 -0.42 -0.56 -0.68 8.00 1.37 1.62 -0.82 0.23 -0.56 0.24 
0.49 12.48 -294.18 -281.69 6.00 0.60 1.28 -0.11 0.14 1.30 -0.97 6.00 1.23 0.92 -0.81 -0.42 -0.55 -0.68 8.00 1.37 1.62 -0.82 0.22 -0.57 0.24 
0.50 12.55 -294.98 -282.43 6.00 0.60 1.30 -0.12 0.15 1.30 -0.98 6.00 1.22 0.92 -0.81 -0.43 -0.54 -0.67 8.00 1.38 1.61 -0.82 0.21 -0.58 0.25 
0.51 12.62 -295.80 -283.18 6.00 0.60 1.31 -0.13 0.16 1.30 -0.99 6.00 1.22 0.91 -0.82 -0.43 -0.53 -0.67 8.00 1.38 1.61 -0.82 0.20 -0.59 0.25 
0.52 12.69 -296.65 -283.96 6.00 0.60 1.32 -0.14 0.17 1.30 -1.01 6.00 1.21 0.91 -0.83 -0.43 -0.51 -0.66 8.00 1.38 1.60 -0.81 0.20 -0.60 0.26 
0.53 12.75 -297.52 -284.77 6.00 0.60 1.34 -0.15 0.18 1.30 -1.02 6.00 1.21 0.90 -0.83 -0.43 -0.50 -0.65 8.00 1.38 1.59 -0.81 0.19 -0.61 0.26 
0.54 12.82 -298.41 -285.59 6.00 0.61 1.35 -0.16 0.19 1.30 -1.03 6.00 1.20 0.90 -0.84 -0.44 -0.49 -0.65 8.00 1.38 1.59 -0.81 0.18 -0.61 0.27 
0.55 12.88 -299.32 -286.44 6.00 0.61 1.36 -0.17 0.21 1.30 -1.04 6.00 1.20 0.89 -0.85 -0.44 -0.47 -0.64 8.00 1.38 1.58 -0.81 0.18 -0.62 0.27 
0.56 12.95 -300.25 -287.30 6.00 0.61 1.37 -0.18 0.22 1.30 -1.05 6.00 1.19 0.89 -0.85 -0.44 -0.46 -0.64 8.00 1.39 1.58 -0.80 0.17 -0.63 0.28 
0.57 13.01 -301.20 -288.19 6.00 0.61 1.39 -0.19 0.23 1.29 -1.06 6.00 1.19 0.88 -0.86 -0.44 -0.45 -0.63 8.00 1.39 1.57 -0.80 0.16 -0.64 0.28 
0.58 13.07 -302.18 -289.10 6.00 0.62 1.40 -0.20 0.24 1.29 -1.07 6.00 1.19 0.88 -0.86 -0.44 -0.43 -0.63 8.00 1.39 1.56 -0.80 0.15 -0.65 0.28 
0.59 13.14 -303.17 -290.03 6.00 0.62 1.41 -0.21 0.25 1.29 -1.08 6.00 1.18 0.88 -0.87 -0.44 -0.42 -0.62 8.00 1.39 1.56 -0.79 0.14 -0.66 0.29 
0.60 13.20 -304.17 -290.98 6.00 0.62 1.43 -0.23 0.27 1.29 -1.09 6.00 1.18 0.87 -0.88 -0.45 -0.41 -0.62 8.00 1.39 1.55 -0.79 0.14 -0.67 0.29 
0.61 13.26 -305.19 -291.94 6.00 0.62 1.44 -0.24 0.28 1.28 -1.10 6.00 1.17 0.87 -0.88 -0.45 -0.39 -0.61 8.00 1.39 1.54 -0.79 0.13 -0.67 0.29 
0.62 13.31 -306.22 -292.91 6.00 0.63 1.45 -0.25 0.29 1.28 -1.12 6.00 1.17 0.86 -0.89 -0.45 -0.38 -0.60 8.00 1.39 1.54 -0.79 0.12 -0.68 0.30 
0.63 13.37 -307.27 -293.90 6.00 0.63 1.46 -0.26 0.30 1.28 -1.13 6.00 1.16 0.86 -0.89 -0.45 -0.37 -0.60 8.00 1.40 1.53 -0.78 0.11 -0.69 0.30 
0.64 13.43 -308.32 -294.89 6.00 0.63 1.48 -0.27 0.31 1.27 -1.14 6.00 1.16 0.86 -0.90 -0.45 -0.35 -0.59 8.00 1.40 1.52 -0.78 0.10 -0.70 0.30 
0.65 13.48 -309.37 -295.89 6.00 0.64 1.49 -0.28 0.33 1.27 -1.15 6.00 1.15 0.85 -0.91 -0.45 -0.34 -0.58 8.00 1.40 1.51 -0.78 0.09 -0.70 0.31 
0.66 13.53 -310.42 -296.89 6.00 0.64 1.50 -0.29 0.34 1.27 -1.16 6.00 1.15 0.85 -0.91 -0.45 -0.33 -0.58 8.00 1.40 1.51 -0.77 0.08 -0.71 0.31 
0.67 13.58 -311.48 -297.89 6.00 0.64 1.52 -0.31 0.35 1.26 -1.17 6.00 1.15 0.85 -0.92 -0.45 -0.31 -0.57 8.00 1.40 1.50 -0.77 0.08 -0.72 0.31 
0.68 13.63 -312.52 -298.89 6.00 0.65 1.53 -0.32 0.36 1.26 -1.18 6.00 1.14 0.84 -0.92 -0.45 -0.30 -0.57 8.00 1.40 1.49 -0.77 0.07 -0.73 0.31 
0.69 13.68 -313.55 -299.88 6.00 0.65 1.54 -0.33 0.38 1.25 -1.19 6.00 1.14 0.84 -0.93 -0.45 -0.28 -0.56 8.00 1.40 1.49 -0.76 0.06 -0.73 0.32 
0.70 13.72 -314.57 -300.85 6.00 0.65 1.55 -0.34 0.39 1.25 -1.19 6.00 1.13 0.84 -0.93 -0.45 -0.27 -0.55 8.00 1.40 1.48 -0.76 0.05 -0.74 0.32 
0.71 13.76 -315.56 -301.80 6.00 0.66 1.57 -0.35 0.40 1.24 -1.20 6.00 1.13 0.84 -0.94 -0.45 -0.26 -0.55 8.00 1.40 1.47 -0.76 0.04 -0.74 0.32 
0.72 13.80 -316.53 -302.73 6.00 0.66 1.58 -0.36 0.41 1.23 -1.21 6.00 1.12 0.83 -0.95 -0.45 -0.24 -0.54 8.00 1.40 1.46 -0.75 0.03 -0.75 0.32 
0.73 13.84 -317.47 -303.63 6.00 0.67 1.59 -0.38 0.42 1.23 -1.22 6.00 1.12 0.83 -0.95 -0.45 -0.23 -0.53 8.00 1.40 1.46 -0.75 0.02 -0.76 0.32 
0.74 13.87 -318.37 -304.50 6.00 0.67 1.60 -0.39 0.44 1.22 -1.23 6.00 1.11 0.83 -0.96 -0.45 -0.21 -0.52 8.00 1.40 1.45 -0.75 0.01 -0.76 0.32 
0.75 13.90 -319.22 -305.32 6.00 0.67 1.61 -0.40 0.45 1.21 -1.24 6.00 1.11 0.83 -0.96 -0.45 -0.20 -0.52 8.00 1.40 1.44 -0.74 0.00 -0.77 0.33 
0.76 13.93 -320.03 -306.10 6.00 0.68 1.63 -0.41 0.46 1.20 -1.25 6.00 1.11 0.83 -0.97 -0.45 -0.18 -0.51 8.00 1.40 1.43 -0.74 -0.01 -0.77 0.33 
0.77 13.96 -320.79 -306.83 6.00 0.68 1.64 -0.43 0.47 1.20 -1.25 6.00 1.10 0.82 -0.97 -0.45 -0.17 -0.50 8.00 1.40 1.43 -0.74 -0.02 -0.78 0.33 
0.78 13.98 -321.48 -307.50 6.00 0.69 1.65 -0.44 0.48 1.19 -1.26 6.00 1.10 0.82 -0.98 -0.44 -0.16 -0.50 8.00 1.40 1.42 -0.73 -0.03 -0.78 0.33 
0.79 14.00 -322.11 -308.11 6.00 0.69 1.66 -0.45 0.50 1.18 -1.27 6.00 1.09 0.82 -0.98 -0.44 -0.14 -0.49 8.00 1.40 1.41 -0.73 -0.04 -0.78 0.33 
0.80 14.02 -322.67 -308.65 6.00 0.70 1.67 -0.46 0.51 1.17 -1.28 6.00 1.09 0.82 -0.99 -0.44 -0.13 -0.48 8.00 1.40 1.40 -0.73 -0.05 -0.79 0.33 
0.81 14.03 -323.15 -309.12 6.00 0.70 1.69 -0.48 0.52 1.16 -1.28 6.00 1.08 0.82 -0.99 -0.44 -0.11 -0.48 8.00 1.40 1.39 -0.72 -0.06 -0.79 0.33 
0.82 14.04 -323.56 -309.52 6.00 0.71 1.70 -0.49 0.53 1.15 -1.29 6.00 1.08 0.82 -1.00 -0.44 -0.10 -0.47 8.00 1.40 1.39 -0.72 -0.07 -0.79 0.33 
0.83 14.05 -323.88 -309.83 6.00 0.71 1.71 -0.50 0.54 1.14 -1.30 6.00 1.07 0.82 -1.00 -0.44 -0.09 -0.46 8.00 1.40 1.38 -0.72 -0.08 -0.80 0.33 
0.84 14.05 -324.13 -310.07 6.00 0.72 1.72 -0.52 0.55 1.13 -1.30 6.00 1.07 0.82 -1.00 -0.43 -0.07 -0.45 8.00 1.40 1.37 -0.71 -0.09 -0.80 0.33 
0.85 14.05 -324.28 -310.23 6.00 0.73 1.73 -0.53 0.56 1.12 -1.31 6.00 1.07 0.82 -1.01 -0.43 -0.06 -0.45 8.00 1.40 1.36 -0.71 -0.10 -0.80 0.32 
0.86 14.05 -324.35 -310.30 6.00 0.73 1.74 -0.54 0.57 1.11 -1.31 6.00 1.06 0.81 -1.01 -0.43 -0.04 -0.44 8.00 1.40 1.35 -0.71 -0.11 -0.81 0.32 
0.87 14.04 -324.33 -310.29 6.00 0.74 1.75 -0.56 0.58 1.10 -1.32 6.00 1.06 0.81 -1.02 -0.43 -0.03 -0.43 8.00 1.39 1.35 -0.71 -0.12 -0.81 0.32 
0.88 14.03 -324.22 -310.19 6.00 0.74 1.76 -0.57 0.60 1.09 -1.32 6.00 1.05 0.81 -1.02 -0.42 -0.02 -0.42 8.00 1.39 1.34 -0.70 -0.13 -0.81 0.32 
0.89 14.02 -324.03 -310.01 6.00 0.75 1.77 -0.58 0.61 1.07 -1.33 6.00 1.05 0.81 -1.03 -0.42 -0.00 -0.42 8.00 1.39 1.33 -0.70 -0.14 -0.81 0.32 
0.90 14.00 -323.75 -309.75 6.00 0.76 1.79 -0.60 0.62 1.06 -1.33 6.00 1.04 0.81 -1.03 -0.42 0.01 -0.41 8.00 1.39 1.32 -0.70 -0.15 -0.81 0.31 
0.91 13.98 -323.40 -309.41 6.00 0.76 1.80 -0.61 0.63 1.05 -1.34 6.00 1.04 0.81 -1.03 -0.41 0.03 -0.40 8.00 1.39 1.31 -0.69 -0.16 -0.81 0.31 
0.92 13.96 -322.96 -309.00 6.00 0.77 1.81 -0.62 0.64 1.04 -1.34 6.00 1.04 0.82 -1.04 -0.41 0.04 -0.39 8.00 1.39 1.31 -0.69 -0.17 -0.81 0.31 
0.93 13.93 -322.45 -308.52 6.00 0.77 1.82 -0.64 0.65 1.02 -1.35 6.00 1.03 0.82 -1.04 -0.41 0.05 -0.38 8.00 1.39 1.30 -0.69 -0.18 -0.81 0.31 
0.94 13.90 -321.88 -307.98 6.00 0.78 1.83 -0.65 0.65 1.01 -1.35 6.00 1.03 0.82 -1.05 -0.41 0.07 -0.38 8.00 1.38 1.29 -0.68 -0.19 -0.81 0.30 
0.95 13.87 -321.24 -307.37 6.00 0.79 1.84 -0.66 0.66 1.00 -1.35 6.00 1.02 0.82 -1.05 -0.40 0.08 -0.37 8.00 1.38 1.28 -0.68 -0.19 -0.81 0.30 
0.96 13.83 -320.54 -306.71 6.00 0.79 1.85 -0.68 0.67 0.98 -1.36 6.00 1.02 0.82 -1.05 -0.40 0.09 -0.36 8.00 1.38 1.27 -0.68 -0.20 -0.81 0.30 
0.97 13.79 -319.78 -305.99 6.00 0.80 1.86 -0.69 0.68 0.97 -1.36 6.00 1.02 0.82 -1.06 -0.39 0.11 -0.35 8.00 1.38 1.26 -0.67 -0.21 -0.81 0.29 
0.98 13.75 -318.98 -305.23 6.00 0.81 1.87 -0.70 0.69 0.96 -1.36 6.00 1.01 0.82 -1.06 -0.39 0.12 -0.34 8.00 1.38 1.26 -0.67 -0.22 -0.81 0.29 
0.99 13.70 -318.14 -304.44 6.00 0.82 1.87 -0.72 0.70 0.94 -1.36 6.00 1.01 0.82 -1.06 -0.39 0.14 -0.34 8.00 1.37 1.25 -0.67 -0.23 -0.81 0.28 
1.00 13.66 -317.26 -303.61 6.00 0.82 1.88 -0.73 0.71 0.93 -1.36 6.00 1.00 0.82 -1.07 -0.38 0.15 -0.33 8.00 1.37 1.24 -0.67 -0.24 -0.81 0.28 
1.01 13.61 -316.36 -302.75 6.00 0.83 1.89 -0.74 0.71 0.91 -1.37 6.00 1.00 0.82 -1.07 -0.38 0.16 -0.32 8.00 1.37 1.23 -0.66 -0.25 -0.81 0.27 
1.02 13.55 -315.43 -301.87 6.00 0.84 1.90 -0.76 0.72 0.90 -1.37 6.00 1.00 0.83 -1.07 -0.37 0.17 -0.31 8.00 1.37 1.22 -0.66 -0.26 -0.81 0.27 
1.03 13.50 -314.48 -300.98 6.00 0.84 1.91 -0.77 0.73 0.88 -1.37 6.00 0.99 0.83 -1.08 -0.37 0.19 -0.30 8.00 1.36 1.22 -0.66 -0.27 -0.81 0.26 
1.04 13.44 -313.51 -300.07 6.00 0.85 1.92 -0.79 0.73 0.87 -1.37 6.00 0.99 0.83 -1.08 -0.37 0.20 -0.30 8.00 1.36 1.21 -0.66 -0.28 -0.81 0.26 
1.05 13.38 -312.54 -299.16 6.00 0.86 1.93 -0.80 0.74 0.85 -1.37 6.00 0.99 0.83 -1.08 -0.36 0.21 -0.29 8.00 1.36 1.20 -0.65 -0.28 -0.80 0.25 
1.06 13.32 -311.56 -298.24 6.00 0.87 1.94 -0.81 0.75 0.84 -1.37 6.00 0.98 0.83 -1.08 -0.36 0.23 -0.28 8.00 1.35 1.19 -0.65 -0.29 -0.80 0.24 
1.07 13.26 -310.59 -297.33 6.00 0.87 1.94 -0.83 0.75 0.82 -1.37 6.00 0.98 0.84 -1.09 -0.35 0.24 -0.27 8.00 1.35 1.18 -0.65 -0.30 -0.80 0.24 
1.08 13.20 -309.62 -296.42 6.00 0.88 1.95 -0.84 0.76 0.81 -1.37 6.00 0.98 0.84 -1.09 -0.35 0.25 -0.26 8.00 1.35 1.18 -0.65 -0.31 -0.80 0.23 
1.09 13.13 -308.65 -295.52 6.00 0.89 1.96 -0.85 0.77 0.79 -1.37 6.00 0.97 0.84 -1.09 -0.34 0.26 -0.25 8.00 1.35 1.17 -0.64 -0.32 -0.80 0.23 
1.10 13.07 -307.70 -294.63 6.00 0.90 1.97 -0.87 0.77 0.77 -1.37 6.00 0.97 0.85 -1.10 -0.34 0.28 -0.25 8.00 1.34 1.16 -0.64 -0.32 -0.79 0.22 
1.11 13.00 -306.76 -293.76 6.00 0.90 1.98 -0.88 0.78 0.76 -1.37 6.00 0.97 0.85 -1.10 -0.33 0.29 -0.24 8.00 1.34 1.15 -0.64 -0.33 -0.79 0.21 
1.12 12.93 -305.83 -292.90 6.00 0.91 1.98 -0.90 0.78 0.74 -1.37 6.00 0.96 0.85 -1.10 -0.33 0.30 -0.23 8.00 1.34 1.14 -0.64 -0.34 -0.79 0.20 
1.13 12.86 -304.93 -292.07 6.00 0.92 1.99 -0.91 0.79 0.73 -1.36 6.00 0.96 0.85 -1.10 -0.32 0.31 -0.22 8.00 1.33 1.14 -0.64 -0.35 -0.78 0.20 
1.14 12.79 -304.04 -291.25 6.00 0.93 2.00 -0.92 0.79 0.71 -1.36 6.00 0.96 0.86 -1.10 -0.32 0.32 -0.21 8.00 1.33 1.13 -0.63 -0.35 -0.78 0.19 
1.15 12.72 -303.18 -290.46 6.00 0.94 2.00 -0.94 0.79 0.69 -1.36 6.00 0.95 0.86 -1.11 -0.31 0.33 -0.20 8.00 1.32 1.12 -0.63 -0.36 -0.78 0.18 
1.16 12.64 -302.34 -289.70 6.00 0.94 2.01 -0.95 0.80 0.68 -1.36 6.00 0.95 0.86 -1.11 -0.30 0.35 -0.20 8.00 1.32 1.11 -0.63 -0.37 -0.77 0.17 
1.17 12.57 -301.53 -288.96 6.00 0.95 2.02 -0.96 0.80 0.66 -1.36 6.00 0.95 0.87 -1.11 -0.30 0.36 -0.19 8.00 1.32 1.10 -0.63 -0.38 -0.77 0.17 
1.18 12.50 -300.74 -288.24 6.00 0.96 2.02 -0.98 0.81 0.65 -1.35 6.00 0.94 0.87 -1.11 -0.29 0.37 -0.18 8.00 1.31 1.10 -0.63 -0.38 -0.77 0.16 
1.19 12.42 -299.98 -287.55 6.00 0.97 2.03 -0.99 0.81 0.63 -1.35 6.00 0.94 0.88 -1.11 -0.29 0.38 -0.17 8.00 1.31 1.09 -0.62 -0.39 -0.76 0.15 
1.20 12.35 -299.24 -286.89 6.00 0.98 2.04 -1.00 0.81 0.61 -1.35 6.00 0.94 0.88 -1.12 -0.28 0.39 -0.16 8.00 1.31 1.08 -0.62 -0.40 -0.76 0.14 
1.21 12.27 -298.53 -286.26 6.00 0.98 2.04 -1.02 0.81 0.60 -1.35 6.00 0.94 0.88 -1.12 -0.28 0.40 -0.15 8.00 1.30 1.07 -0.62 -0.40 -0.75 0.13 
1.22 12.20 -297.85 -285.65 6.00 0.99 2.05 -1.03 0.82 0.58 -1.34 6.00 0.93 0.89 -1.12 -0.27 0.41 -0.15 8.00 1.30 1.07 -0.62 -0.41 -0.75 0.13 
1.23 12.12 -297.19 -285.08 6.00 1.00 2.05 -1.04 0.82 0.56 -1.34 6.00 0.93 0.89 -1.12 -0.26 0.42 -0.14 8.00 1.29 1.06 -0.62 -0.42 -0.74 0.12 
