#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 m3 x3 y3 z3 vx3 vy3 vz3 
0.22 7.21 -49.28 -42.07 2.00 1.82 0.99 0.71 0.70 0.87 -0.10 2.00 0.45 1.46 -1.04 0.59 -0.66 -1.14 8.00 -0.10 1.68 -1.71 -0.47 0.28 0.81 
0.23 7.22 -49.50 -42.28 2.00 1.83 1.00 0.70 0.69 0.88 -0.10 2.00 0.45 1.45 -1.05 0.59 -0.65 -1.15 8.00 -0.11 1.68 -1.71 -0.47 0.28 0.82 
0.24 7.23 -49.71 -42.48 2.00 1.84 1.01 0.70 0.69 0.88 -0.11 2.00 0.46 1.45 -1.06 0.58 -0.65 -1.15 8.00 -0.11 1.68 -1.70 -0.47 0.28 0.82 
0.25 7.24 -49.90 -42.67 2.00 1.84 1.02 0.70 0.69 0.88 -0.11 2.00 0.46 1.44 -1.07 0.58 -0.65 -1.16 8.00 -0.12 1.69 -1.69 -0.46 0.28 0.82 
0.26 7.25 -50.07 -42.83 2.00 1.85 1.03 0.70 0.68 0.88 -0.12 2.00 0.47 1.43 -1.08 0.57 -0.65 -1.16 8.00 -0.12 1.69 -1.68 -0.46 0.28 0.83 
0.27 7.25 -50.22 -42.97 2.00 1.86 1.04 0.70 0.68 0.88 -0.12 2.00 0.47 1.43 -1.09 0.57 -0.64 -1.17 8.00 -0.13 1.69 -1.67 -0.46 0.28 0.83 
0.28 7.26 -50.35 -43.09 2.00 1.86 1.05 0.70 0.68 0.88 -0.13 2.00 0.48 1.42 -1.11 0.56 -0.64 -1.18 8.00 -0.13 1.69 -1.66 -0.46 0.28 0.83 
0.29 7.26 -50.46 -43.19 2.00 1.87 1.06 0.70 0.67 0.88 -0.13 2.00 0.49 1.41 -1.12 0.55 -0.64 -1.18 8.00 -0.13 1.70 -1.66 -0.46 0.28 0.83 
0.30 7.27 -50.54 -43.27 2.00 1.88 1.07 0.70 0.67 0.88 -0.14 2.00 0.49 1.41 -1.13 0.55 -0.64 -1.18 8.00 -0.14 1.70 -1.65 -0.45 0.28 0.83 
0.31 7.27 -50.60 -43.33 2.00 1.88 1.07 0.69 0.66 0.89 -0.14 2.00 0.50 1.40 -1.14 0.54 -0.63 -1.19 8.00 -0.14 1.70 -1.64 -0.45 0.27 0.84 
0.32 7.27 -50.63 -43.36 2.00 1.89 1.08 0.69 0.66 0.89 -0.15 2.00 0.50 1.39 -1.15 0.54 -0.63 -1.19 8.00 -0.15 1.70 -1.63 -0.45 0.27 0.84 
0.33 7.27 -50.64 -43.37 2.00 1.90 1.09 0.69 0.66 0.89 -0.15 2.00 0.51 1.39 -1.17 0.53 -0.63 -1.20 8.00 -0.15 1.71 -1.62 -0.45 0.27 0.84 
0.34 7.27 -50.63 -43.36 2.00 1.90 1.10 0.69 0.65 0.89 -0.15 2.00 0.51 1.38 -1.18 0.52 -0.62 -1.20 8.00 -0.16 1.71 -1.61 -0.44 0.27 0.84 
0.35 7.26 -50.59 -43.32 2.00 1.91 1.11 0.69 0.65 0.89 -0.16 2.00 0.52 1.38 -1.19 0.52 -0.62 -1.21 8.00 -0.16 1.71 -1.61 -0.44 0.27 0.85 
0.36 7.26 -50.53 -43.26 2.00 1.92 1.12 0.69 0.65 0.89 -0.16 2.00 0.52 1.37 -1.20 0.51 -0.61 -1.21 8.00 -0.17 1.72 -1.60 -0.44 0.27 0.85 
0.37 7.26 -50.44 -43.18 2.00 1.92 1.13 0.69 0.64 0.89 -0.17 2.00 0.53 1.36 -1.21 0.50 -0.61 -1.21 8.00 -0.17 1.72 -1.59 -0.43 0.27 0.85 
0.38 7.25 -50.33 -43.08 2.00 1.93 1.14 0.68 0.64 0.89 -0.17 2.00 0.53 1.36 -1.23 0.49 -0.61 -1.21 8.00 -0.17 1.72 -1.58 -0.43 0.27 0.85 
0.39 7.24 -50.20 -42.95 2.00 1.94 1.15 0.68 0.64 0.89 -0.18 2.00 0.54 1.35 -1.24 0.49 -0.60 -1.22 8.00 -0.18 1.72 -1.57 -0.43 0.27 0.85 
0.40 7.24 -50.04 -42.81 2.00 1.94 1.15 0.68 0.63 0.89 -0.18 2.00 0.54 1.35 -1.25 0.48 -0.60 -1.22 8.00 -0.18 1.73 -1.56 -0.43 0.26 0.85 
0.41 7.23 -49.87 -42.64 2.00 1.95 1.16 0.68 0.63 0.89 -0.18 2.00 0.55 1.34 -1.26 0.47 -0.59 -1.22 8.00 -0.19 1.73 -1.55 -0.42 0.26 0.86 
0.42 7.22 -49.67 -42.46 2.00 1.96 1.17 0.68 0.62 0.90 -0.19 2.00 0.55 1.33 -1.28 0.47 -0.59 -1.22 8.00 -0.19 1.73 -1.55 -0.42 0.26 0.86 
0.43 7.20 -49.46 -42.25 2.00 1.96 1.18 0.67 0.62 0.90 -0.19 2.00 0.56 1.33 -1.29 0.46 -0.59 -1.23 8.00 -0.20 1.73 -1.54 -0.42 0.26 0.86 
0.44 7.19 -49.23 -42.03 2.00 1.97 1.19 0.67 0.62 0.90 -0.20 2.00 0.56 1.32 -1.30 0.45 -0.58 -1.23 8.00 -0.20 1.74 -1.53 -0.42 0.26 0.86 
0.45 7.18 -48.98 -41.80 2.00 1.97 1.20 0.67 0.61 0.90 -0.20 2.00 0.57 1.32 -1.31 0.44 -0.58 -1.23 8.00 -0.20 1.74 -1.52 -0.41 0.26 0.86 
0.46 7.16 -48.72 -41.55 2.00 1.98 1.21 0.67 0.61 0.90 -0.21 2.00 0.57 1.31 -1.32 0.44 -0.57 -1.23 8.00 -0.21 1.74 -1.51 -0.41 0.26 0.86 
0.47 7.15 -48.44 -41.29 2.00 1.99 1.22 0.67 0.61 0.90 -0.21 2.00 0.57 1.31 -1.34 0.43 -0.57 -1.23 8.00 -0.21 1.74 -1.50 -0.41 0.25 0.86 
0.48 7.13 -48.15 -41.02 2.00 1.99 1.23 0.66 0.60 0.90 -0.21 2.00 0.58 1.30 -1.35 0.42 -0.56 -1.23 8.00 -0.22 1.75 -1.49 -0.40 0.25 0.87 
0.49 7.12 -47.85 -40.73 2.00 2.00 1.23 0.66 0.60 0.90 -0.22 2.00 0.58 1.29 -1.36 0.41 -0.56 -1.23 8.00 -0.22 1.75 -1.49 -0.40 0.25 0.87 
0.50 7.10 -47.53 -40.44 2.00 2.00 1.24 0.66 0.59 0.90 -0.22 2.00 0.59 1.29 -1.37 0.41 -0.55 -1.23 8.00 -0.22 1.75 -1.48 -0.40 0.25 0.87 
0.51 7.08 -47.21 -40.13 2.00 2.01 1.25 0.66 0.59 0.90 -0.23 2.00 0.59 1.28 -1.39 0.40 -0.55 -1.23 8.00 -0.23 1.75 -1.47 -0.40 0.25 0.87 
0.52 7.06 -46.88 -39.83 2.00 2.02 1.26 0.65 0.59 0.90 -0.23 2.00 0.59 1.28 -1.40 0.39 -0.54 -1.23 8.00 -0.23 1.76 -1.46 -0.39 0.25 0.87 
0.53 7.04 -46.55 -39.51 2.00 2.02 1.27 0.65 0.58 0.90 -0.23 2.00 0.60 1.27 -1.41 0.38 -0.54 -1.23 8.00 -0.24 1.76 -1.45 -0.39 0.25 0.87 
0.54 7.02 -46.21 -39.19 2.00 2.03 1.28 0.65 0.58 0.90 -0.24 2.00 0.60 1.27 -1.42 0.37 -0.53 -1.23 8.00 -0.24 1.76 -1.44 -0.39 0.24 0.87 
0.55 7.00 -45.86 -38.87 2.00 2.03 1.29 0.65 0.57 0.91 -0.24 2.00 0.61 1.26 -1.43 0.37 -0.53 -1.23 8.00 -0.24 1.76 -1.43 -0.38 0.24 0.87 
0.56 6.97 -45.51 -38.54 2.00 2.04 1.30 0.65 0.57 0.91 -0.25 2.00 0.61 1.26 -1.45 0.36 -0.52 -1.23 8.00 -0.25 1.77 -1.42 -0.38 0.24 0.87 
0.57 6.95 -45.16 -38.21 2.00 2.04 1.31 0.64 0.57 0.91 -0.25 2.00 0.61 1.25 -1.46 0.35 -0.52 -1.22 8.00 -0.25 1.77 -1.42 -0.38 0.24 0.87 
0.58 6.93 -44.81 -37.88 2.00 2.05 1.32 0.64 0.56 0.91 -0.25 2.00 0.62 1.25 -1.47 0.34 -0.51 -1.22 8.00 -0.25 1.77 -1.41 -0.38 0.24 0.87 
0.59 6.90 -44.45 -37.55 2.00 2.06 1.33 0.64 0.56 0.91 -0.26 2.00 0.62 1.24 -1.48 0.34 -0.51 -1.22 8.00 -0.26 1.77 -1.40 -0.37 0.24 0.87 
0.60 6.88 -44.09 -37.22 2.00 2.06 1.33 0.64 0.55 0.91 -0.26 2.00 0.62 1.24 -1.50 0.33 -0.50 -1.22 8.00 -0.26 1.78 -1.39 -0.37 0.24 0.87 
0.61 6.85 -43.74 -36.89 2.00 2.07 1.34 0.63 0.55 0.91 -0.27 2.00 0.63 1.23 -1.51 0.32 -0.50 -1.22 8.00 -0.27 1.78 -1.38 -0.37 0.23 0.88 
0.62 6.83 -43.39 -36.56 2.00 2.07 1.35 0.63 0.55 0.91 -0.27 2.00 0.63 1.23 -1.52 0.31 -0.49 -1.21 8.00 -0.27 1.78 -1.37 -0.36 0.23 0.88 
0.63 6.80 -43.03 -36.23 2.00 2.08 1.36 0.63 0.54 0.91 -0.27 2.00 0.63 1.22 -1.53 0.31 -0.49 -1.21 8.00 -0.27 1.78 -1.36 -0.36 0.23 0.88 
0.64 6.77 -42.68 -35.91 2.00 2.08 1.37 0.62 0.54 0.91 -0.28 2.00 0.63 1.22 -1.54 0.30 -0.48 -1.21 8.00 -0.28 1.79 -1.35 -0.36 0.23 0.88 
0.65 6.75 -42.33 -35.59 2.00 2.09 1.38 0.62 0.54 0.91 -0.28 2.00 0.64 1.21 -1.56 0.29 -0.48 -1.21 8.00 -0.28 1.79 -1.35 -0.36 0.23 0.88 
0.66 6.72 -41.99 -35.27 2.00 2.09 1.39 0.62 0.53 0.91 -0.29 2.00 0.64 1.21 -1.57 0.28 -0.47 -1.20 8.00 -0.28 1.79 -1.34 -0.35 0.23 0.88 
0.67 6.69 -41.65 -34.96 2.00 2.10 1.40 0.62 0.53 0.91 -0.29 2.00 0.64 1.20 -1.58 0.28 -0.47 -1.20 8.00 -0.29 1.79 -1.33 -0.35 0.23 0.88 
0.68 6.66 -41.31 -34.65 2.00 2.10 1.41 0.61 0.52 0.91 -0.29 2.00 0.65 1.20 -1.59 0.27 -0.46 -1.20 8.00 -0.29 1.79 -1.32 -0.35 0.22 0.88 
0.69 6.63 -40.97 -34.34 2.00 2.11 1.42 0.61 0.52 0.91 -0.30 2.00 0.65 1.19 -1.60 0.26 -0.46 -1.19 8.00 -0.29 1.80 -1.31 -0.34 0.22 0.88 
0.70 6.60 -40.64 -34.04 2.00 2.11 1.43 0.61 0.52 0.91 -0.30 2.00 0.65 1.19 -1.62 0.25 -0.45 -1.19 8.00 -0.30 1.80 -1.30 -0.34 0.22 0.88 
0.71 6.58 -40.32 -33.74 2.00 2.12 1.43 0.60 0.51 0.91 -0.30 2.00 0.65 1.18 -1.63 0.25 -0.44 -1.18 8.00 -0.30 1.80 -1.29 -0.34 0.22 0.88 
0.72 6.55 -40.00 -33.45 2.00 2.12 1.44 0.60 0.51 0.91 -0.31 2.00 0.66 1.18 -1.64 0.24 -0.44 -1.18 8.00 -0.30 1.80 -1.28 -0.34 0.22 0.88 
0.73 6.52 -39.68 -33.16 2.00 2.13 1.45 0.60 0.50 0.91 -0.31 2.00 0.66 1.18 -1.65 0.23 -0.43 -1.18 8.00 -0.31 1.81 -1.28 -0.33 0.22 0.88 
0.74 6.49 -39.37 -32.88 2.00 2.13 1.46 0.59 0.50 0.91 -0.32 2.00 0.66 1.17 -1.66 0.22 -0.43 -1.17 8.00 -0.31 1.81 -1.27 -0.33 0.22 0.88 
0.75 6.46 -39.06 -32.60 2.00 2.14 1.47 0.59 0.50 0.91 -0.32 2.00 0.66 1.17 -1.68 0.22 -0.42 -1.17 8.00 -0.31 1.81 -1.26 -0.33 0.21 0.88 
0.76 6.43 -38.76 -32.33 2.00 2.14 1.48 0.59 0.49 0.91 -0.32 2.00 0.66 1.16 -1.69 0.21 -0.42 -1.16 8.00 -0.32 1.81 -1.25 -0.32 0.21 0.88 
0.77 6.40 -38.46 -32.07 2.00 2.15 1.49 0.58 0.49 0.91 -0.33 2.00 0.67 1.16 -1.70 0.20 -0.41 -1.16 8.00 -0.32 1.81 -1.24 -0.32 0.21 0.88 
0.78 6.37 -38.17 -31.81 2.00 2.15 1.50 0.58 0.48 0.92 -0.33 2.00 0.67 1.15 -1.71 0.20 -0.41 -1.15 8.00 -0.32 1.82 -1.23 -0.32 0.21 0.88 
0.79 6.33 -37.88 -31.55 2.00 2.16 1.51 0.58 0.48 0.92 -0.33 2.00 0.67 1.15 -1.72 0.19 -0.40 -1.15 8.00 -0.33 1.82 -1.22 -0.32 0.21 0.88 
0.80 6.30 -37.60 -31.30 2.00 2.16 1.52 0.57 0.47 0.92 -0.34 2.00 0.67 1.15 -1.73 0.18 -0.40 -1.14 8.00 -0.33 1.82 -1.21 -0.31 0.21 0.87 
0.81 6.27 -37.33 -31.05 2.00 2.17 1.53 0.57 0.47 0.92 -0.34 2.00 0.67 1.14 -1.74 0.17 -0.39 -1.14 8.00 -0.33 1.82 -1.21 -0.31 0.21 0.87 
0.82 6.24 -37.05 -30.81 2.00 2.17 1.54 0.57 0.47 0.92 -0.34 2.00 0.68 1.14 -1.76 0.17 -0.39 -1.13 8.00 -0.34 1.82 -1.20 -0.31 0.21 0.87 
0.83 6.21 -36.79 -30.58 2.00 2.18 1.54 0.56 0.46 0.92 -0.35 2.00 0.68 1.13 -1.77 0.16 -0.38 -1.13 8.00 -0.34 1.83 -1.19 -0.30 0.20 0.87 
0.84 6.18 -36.53 -30.35 2.00 2.18 1.55 0.56 0.46 0.92 -0.35 2.00 0.68 1.13 -1.78 0.15 -0.38 -1.12 8.00 -0.34 1.83 -1.18 -0.30 0.20 0.87 
0.85 6.15 -36.27 -30.12 2.00 2.19 1.56 0.56 0.45 0.92 -0.35 2.00 0.68 1.13 -1.79 0.15 -0.37 -1.12 8.00 -0.35 1.83 -1.17 -0.30 0.20 0.87 
0.86 6.12 -36.02 -29.90 2.00 2.19 1.57 0.55 0.45 0.92 -0.36 2.00 0.68 1.12 -1.80 0.14 -0.36 -1.11 8.00 -0.35 1.83 -1.16 -0.30 0.20 0.87 
0.87 6.09 -35.77 -29.69 2.00 2.20 1.58 0.55 0.45 0.92 -0.36 2.00 0.68 1.12 -1.81 0.13 -0.36 -1.11 8.00 -0.35 1.83 -1.15 -0.29 0.20 0.87 
0.88 6.02 -35.53 -29.51 2.00 2.20 1.59 0.55 0.44 0.92 -0.37 2.00 0.68 1.12 -1.82 0.12 -0.35 -1.10 8.00 -0.35 1.84 -1.14 -0.29 0.20 0.87 
0.89 5.97 -35.30 -29.33 2.00 2.20 1.60 0.54 0.44 0.92 -0.37 2.00 0.69 1.11 -1.83 0.11 -0.34 -1.09 8.00 -0.36 1.84 -1.14 -0.28 0.19 0.87 
0.90 5.91 -35.07 -29.16 2.00 2.21 1.61 0.54 0.43 0.92 -0.37 2.00 0.69 1.11 -1.84 0.09 -0.33 -1.08 8.00 -0.36 1.84 -1.13 -0.28 0.19 0.87 
0.91 5.85 -34.85 -29.00 2.00 2.21 1.62 0.54 0.43 0.92 -0.38 2.00 0.69 1.11 -1.85 0.08 -0.32 -1.07 8.00 -0.36 1.84 -1.12 -0.28 0.19 0.86 
0.92 5.80 -34.63 -28.84 2.00 2.22 1.63 0.53 0.42 0.92 -0.38 2.00 0.69 1.10 -1.87 0.07 -0.31 -1.06 8.00 -0.37 1.84 -1.11 -0.27 0.19 0.86 
0.93 5.74 -34.42 -28.68 2.00 2.22 1.64 0.53 0.42 0.92 -0.38 2.00 0.69 1.10 -1.88 0.06 -0.30 -1.05 8.00 -0.37 1.85 -1.10 -0.27 0.18 0.86 
0.94 5.69 -34.22 -28.53 2.00 2.23 1.65 0.52 0.42 0.92 -0.38 2.00 0.69 1.10 -1.89 0.05 -0.29 -1.04 8.00 -0.37 1.85 -1.09 -0.26 0.18 0.86 
0.95 5.64 -34.02 -28.38 2.00 2.23 1.65 0.52 0.41 0.92 -0.39 2.00 0.69 1.09 -1.90 0.03 -0.28 -1.03 8.00 -0.37 1.85 -1.08 -0.26 0.18 0.86 
0.96 5.59 -33.83 -28.23 2.00 2.23 1.66 0.52 0.41 0.92 -0.39 2.00 0.69 1.09 -1.91 0.02 -0.28 -1.02 8.00 -0.38 1.85 -1.08 -0.26 0.18 0.86 
0.97 5.54 -33.64 -28.09 2.00 2.24 1.67 0.51 0.40 0.92 -0.39 2.00 0.69 1.09 -1.92 0.01 -0.27 -1.01 8.00 -0.38 1.85 -1.07 -0.25 0.17 0.85 
0.98 5.50 -33.45 -27.95 2.00 2.24 1.68 0.51 0.40 0.92 -0.40 2.00 0.69 1.09 -1.93 0.00 -0.26 -1.00 8.00 -0.38 1.85 -1.06 -0.25 0.17 0.85 
0.99 5.45 -33.27 -27.82 2.00 2.25 1.69 0.50 0.40 0.92 -0.40 2.00 0.69 1.08 -1.94 -0.01 -0.25 -0.99 8.00 -0.38 1.86 -1.05 -0.25 0.17 0.85 
1.00 5.41 -33.10 -27.69 2.00 2.25 1.70 0.50 0.39 0.92 -0.40 2.00 0.69 1.08 -1.95 -0.02 -0.24 -0.98 8.00 -0.39 1.86 -1.04 -0.24 0.17 0.85 
1.01 5.36 -32.92 -27.56 2.00 2.25 1.71 0.50 0.39 0.92 -0.41 2.00 0.69 1.08 -1.96 -0.03 -0.24 -0.97 8.00 -0.39 1.86 -1.03 -0.24 0.17 0.85 
1.02 5.32 -32.76 -27.44 2.00 2.26 1.72 0.49 0.38 0.92 -0.41 2.00 0.69 1.08 -1.97 -0.04 -0.23 -0.96 8.00 -0.39 1.86 -1.02 -0.23 0.17 0.85 
1.03 5.28 -32.59 -27.31 2.00 2.26 1.73 0.49 0.38 0.92 -0.41 2.00 0.69 1.08 -1.97 -0.05 -0.22 -0.95 8.00 -0.39 1.86 -1.02 -0.23 0.16 0.84 
1.04 5.24 -32.43 -27.19 2.00 2.27 1.74 0.48 0.37 0.92 -0.42 2.00 0.69 1.07 -1.98 -0.06 -0.21 -0.94 8.00 -0.40 1.86 -1.01 -0.23 0.16 0.84 
1.05 5.20 -32.28 -27.08 2.00 2.27 1.75 0.48 0.37 0.92 -0.42 2.00 0.69 1.07 -1.99 -0.07 -0.21 -0.93 8.00 -0.40 1.87 -1.00 -0.22 0.16 0.84 
1.06 5.16 -32.12 -26.96 2.00 2.27 1.76 0.48 0.37 0.92 -0.42 2.00 0.69 1.07 -2.00 -0.07 -0.20 -0.92 8.00 -0.40 1.87 -0.99 -0.22 0.16 0.84 
1.07 5.12 -31.97 -26.85 2.00 2.28 1.76 0.47 0.36 0.92 -0.43 2.00 0.69 1.07 -2.01 -0.08 -0.19 -0.91 8.00 -0.40 1.87 -0.98 -0.22 0.16 0.84 
1.08 5.09 -31.83 -26.74 2.00 2.28 1.77 0.47 0.36 0.92 -0.43 2.00 0.68 1.07 -2.02 -0.09 -0.18 -0.90 8.00 -0.40 1.87 -0.97 -0.21 0.15 0.84 
1.09 5.05 -31.69 -26.63 2.00 2.28 1.78 0.46 0.35 0.92 -0.43 2.00 0.68 1.06 -2.03 -0.10 -0.18 -0.89 8.00 -0.41 1.87 -0.97 -0.21 0.15 0.84 
1.10 5.02 -31.55 -26.53 2.00 2.29 1.79 0.46 0.35 0.92 -0.43 2.00 0.68 1.06 -2.04 -0.11 -0.17 -0.88 8.00 -0.41 1.87 -0.96 -0.21 0.15 0.83 
1.11 4.98 -31.41 -26.43 2.00 2.29 1.80 0.45 0.34 0.92 -0.44 2.00 0.68 1.06 -2.05 -0.12 -0.17 -0.87 8.00 -0.41 1.88 -0.95 -0.21 0.15 0.83 
1.12 4.95 -31.28 -26.33 2.00 2.29 1.81 0.45 0.34 0.92 -0.44 2.00 0.68 1.06 -2.06 -0.12 -0.16 -0.86 8.00 -0.41 1.88 -0.94 -0.20 0.15 0.83 
1.13 4.91 -31.14 -26.23 2.00 2.30 1.82 0.44 0.33 0.92 -0.44 2.00 0.68 1.06 -2.06 -0.13 -0.15 -0.86 8.00 -0.41 1.88 -0.93 -0.20 0.15 0.83 
1.14 4.88 -31.02 -26.13 2.00 2.30 1.83 0.44 0.33 0.92 -0.45 2.00 0.68 1.06 -2.07 -0.14 -0.15 -0.85 8.00 -0.42 1.88 -0.92 -0.20 0.15 0.83 
1.15 4.85 -30.89 -26.04 2.00 2.30 1.84 0.44 0.33 0.92 -0.45 2.00 0.68 1.05 -2.08 -0.14 -0.14 -0.84 8.00 -0.42 1.88 -0.92 -0.19 0.14 0.83 
1.16 4.82 -30.77 -25.95 2.00 2.31 1.85 0.43 0.32 0.92 -0.45 2.00 0.67 1.05 -2.09 -0.15 -0.13 -0.83 8.00 -0.42 1.88 -0.91 -0.19 0.14 0.82 
1.17 4.79 -30.65 -25.86 2.00 2.31 1.86 0.43 0.32 0.92 -0.45 2.00 0.67 1.05 -2.10 -0.16 -0.13 -0.82 8.00 -0.42 1.88 -0.90 -0.19 0.14 0.82 
1.18 4.76 -30.53 -25.77 2.00 2.31 1.87 0.42 0.31 0.92 -0.46 2.00 0.67 1.05 -2.11 -0.17 -0.12 -0.81 8.00 -0.42 1.89 -0.89 -0.19 0.14 0.82 
1.19 4.73 -30.41 -25.68 2.00 2.32 1.87 0.42 0.31 0.92 -0.46 2.00 0.67 1.05 -2.11 -0.17 -0.12 -0.80 8.00 -0.43 1.89 -0.88 -0.18 0.14 0.82 
1.20 4.70 -30.30 -25.60 2.00 2.32 1.88 0.41 0.30 0.92 -0.46 2.00 0.67 1.05 -2.12 -0.18 -0.11 -0.79 8.00 -0.43 1.89 -0.88 -0.18 0.14 0.82 
1.21 4.67 -30.19 -25.52 2.00 2.32 1.89 0.41 0.30 0.92 -0.46 2.00 0.67 1.05 -2.13 -0.18 -0.11 -0.79 8.00 -0.43 1.89 -0.87 -0.18 0.14 0.82 
1.22 4.65 -30.08 -25.43 2.00 2.33 1.90 0.40 0.29 0.91 -0.47 2.00 0.66 1.05 -2.14 -0.19 -0.10 -0.78 8.00 -0.43 1.89 -0.86 -0.17 0.13 0.82 
1.23 4.62 -29.97 -25.35 2.00 2.33 1.91 0.40 0.29 0.91 -0.47 2.00 0.66 1.04 -2.15 -0.20 -0.10 -0.77 8.00 -0.43 1.89 -0.85 -0.17 0.13 0.81 
1.24 4.59 -29.87 -25.28 2.00 2.33 1.92 0.39 0.29 0.91 -0.47 2.00 0.66 1.04 -2.15 -0.20 -0.09 -0.76 8.00 -0.43 1.89 -0.84 -0.17 0.13 0.81 
